1,73, High school graduate, Widowed, Female, Nonfiler,20401.08,2596.41 Not in universe, United-States, Native- Born in the United States,0
420,48, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,21465.00,2292.25 Not in universe, United-States, Native- Born in the United States,52
421,28, High school graduate, Divorced, Female, Head of household,17947.08,2029.56 Not in universe, United-States, Native- Born in the United States,12
422,72, 10th grade, Widowed, Female, Single,18745.80,2348.12 Not in universe, United-States, Native- Born in the United States,0
423,52, High school graduate, Married-civilian spouse present, Male, Joint both under 65,4993.32,499.33 Not in universe, United-States, Native- Born in the United States,52
424,18, 11th grade, Never married, Female, Nonfiler,25473.24,3357.24 Not in universe, United-States, Native- Born in the United States,0
425,76, Some college but no degree, Divorced, Female, Single,3785.64,378.56 Not in universe, United-States, Native- Born in the United States,0
426,28, Bachelors degree(BA AB BS), Never married, Male, Single,41128.32,6053.33 Not in universe, United-States, Native- Born in the United States,52
427,59, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,11780.28,1178.03 Not in universe, United-States, Native- Born in the United States,1
428,15, 7th and 8th grade, Never married, Male, Single,3675.24,367.52 Both parents present, United-States, Native- Born in the United States,52
429,47, High school graduate, Married-civilian spouse present, Female, Joint both under 65,13967.16,1396.72 Not in universe, United-States, Native- Born in the United States,20
430,51, High school graduate, Married-civilian spouse present, Male, Joint both under 65,11407.68,1140.77 Not in universe, United-States, Native- Born in the United States,52
431,17, 7th and 8th grade, Never married, Male, Nonfiler,41002.68,6021.92 Both parents present, United-States, Native- Born in the United States,0
432,72, 11th grade, Divorced, Female, Single,19306.20,2432.18 Not in universe, United-States, Native- Born in the United States,0
433,85, 10th grade, Widowed, Female, Nonfiler,19467.12,2456.32 Not in universe, United-States, Native- Born in the United States,0
434,65, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint one under 65 & one 65+,25812.60,2944.39 Not in universe, United-States, Native- Born in the United States,0
435,39, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,19165.80,1947.37 Not in universe, United-States, Native- Born in the United States,40
436,49, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,36991.56,4621.23 Not in universe, United-States, Native- Born in the United States,52
437,62, 7th and 8th grade, Married-civilian spouse present, Male, Joint both under 65,23507.16,2598.57 Not in universe, United-States, Native- Born in the United States,0
438,52, High school graduate, Married-civilian spouse present, Male, Joint both under 65,17892.24,1789.22 Not in universe, United-States, Native- Born in the United States,52
439,31, High school graduate, Never married, Male, Single,30791.64,4155.00 Not in universe, United-States, Native- Born in the United States,52
440,33, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,8432.52,843.25 Not in universe, Columbia, Native- Born abroad of American Parent(s),23
441,55, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both under 65,21083.52,2235.03 Not in universe, United-States, Native- Born in the United States,52
442,34, Some college but no degree, Divorced, Female, Head of household,14589.24,1525.89 Not in universe, United-States, Native- Born in the United States,0
443,24, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,29027.52,3426.63 Not in universe, United-States, Native- Born in the United States,36
444,23, 11th grade, Never married, Male, Single,34085.28,4649.04 Not in universe, United-States, Native- Born in the United States,14
445,37, Some college but no degree, Divorced, Male, Single,27537.84,3666.93 Not in universe, United-States, Native- Born in the United States,52
446,45, 7th and 8th grade, Widowed, Female, Head of household,40308.12,5383.72 Not in universe, United-States, Native- Born in the United States,10
447,54, 7th and 8th grade, Widowed, Female, Single,10822.44,1159.62 Not in universe, United-States, Native- Born in the United States,50
448,26, High school graduate, Married-A F spouse present, Female, Joint both under 65,34241.76,4208.76 Not in universe, United-States, Native- Born in the United States,0
449,41, High school graduate, Married-civilian spouse present, Female, Joint both under 65,23785.32,2640.30 Not in universe, United-States, Native- Born in the United States,38
450,17, 10th grade, Never married, Female, Nonfiler,29354.28,3939.39 Mother only present, United-States, Native- Born in the United States,12
451,33, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,48382.32,6329.85 Not in universe, United-States, Native- Born in the United States,52
452,45, High school graduate, Married-civilian spouse present, Female, Joint both under 65,44046.60,5679.49 Not in universe, United-States, Native- Born in the United States,52
453,60, High school graduate, Divorced, Female, Single,21259.20,2725.13 Not in universe, United-States, Native- Born in the United States,45
454,28, 12th grade no diploma, Never married, Female, Single,17899.08,2221.11 Not in universe, United-States, Native- Born in the United States,52
455,53, 1st 2nd 3rd or 4th grade, Married-civilian spouse present, Male, Joint both under 65,19419.72,1985.46 Not in universe, Italy, Foreign born- U S citizen by naturalization,52
456,39, High school graduate, Married-civilian spouse present, Female, Joint both under 65,29688.24,3525.74 Not in universe, United-States, Native- Born in the United States,0
457,54, High school graduate, Married-civilian spouse present, Female, Joint one under 65 & one 65+,44471.16,5743.17 Not in universe, United-States, Native- Born in the United States,52
458,68, 7th and 8th grade, Married-civilian spouse present, Female, Joint one under 65 & one 65+,17094.00,1709.40 Not in universe, United-States, Native- Born in the United States,0
459,18, High school graduate, Never married, Male, Single,21852.24,2814.09 Not in universe, United-States, Native- Born in the United States,24
460,20, High school graduate, Never married, Male, Nonfiler,24461.88,3205.53 Not in universe, United-States, Native- Born in the United States,0
461,20, High school graduate, Never married, Male, Single,14279.64,1678.20 Not in universe, United-States, Native- Born in the United States,40
462,24, Some college but no degree, Never married, Female, Nonfiler,13895.88,1620.63 Not in universe, United-States, Native- Born in the United States,0
463,69, 7th and 8th grade, Married-civilian spouse present, Male, Joint both 65+,16683.72,1668.37 Not in universe, United-States, Native- Born in the United States,0
464,45, High school graduate, Divorced, Female, Single,13658.28,1584.99 Not in universe, United-States, Native- Born in the United States,1
465,31, Some college but no degree, Never married, Female, Single,45820.80,7226.45 Not in universe, United-States, Native- Born in the United States,52
466,34, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,35967.12,4467.57 Not in universe, United-States, Native- Born in the United States,52
467,60, Bachelors degree(BA AB BS), Divorced, Female, Single,48394.44,7869.86 Not in universe, Mexico, Foreign born- U S citizen by naturalization,52
468,46, High school graduate, Married-civilian spouse present, Male, Joint both under 65,15318.72,1531.87 Not in universe, United-States, Native- Born in the United States,26
469,72, Some college but no degree, Widowed, Female, Single,24939.60,3277.19 Not in universe, United-States, Native- Born in the United States,0
470,32, Bachelors degree(BA AB BS), Never married, Male, Single,26313.60,3483.29 Not in universe, United-States, Native- Born in the United States,52
471,55, 7th and 8th grade, Married-civilian spouse present, Female, Joint both under 65,20289.96,2115.99 Not in universe, United-States, Native- Born in the United States,0
472,36, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,11961.48,1196.15 Not in universe, United-States, Native- Born in the United States,0
473,21, 10th grade, Married-spouse absent, Female, Nonfiler,13360.56,1540.33 Not in universe, Mexico, Foreign born- Not a citizen of U S ,0
474,16, 11th grade, Never married, Male, Nonfiler,6150.12,615.01 Mother only present, United-States, Native- Born in the United States,12
475,41, Associates degree-occup /vocational, Married-civilian spouse present, Male, Joint both under 65,26058.48,2981.27 Not in universe, United-States, Native- Born in the United States,52
476,28, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,4993.80,499.38 Not in universe, United-States, Native- Born in the United States,44
477,25, Bachelors degree(BA AB BS), Never married, Male, Single,6145.56,614.56 Not in universe, United-States, Native- Born in the United States,52
478,77, Some college but no degree, Married-civilian spouse present, Female, Joint both 65+,12033.36,1203.34 Not in universe, United-States, Native- Born in the United States,0
479,73, High school graduate, Married-civilian spouse present, Female, Joint both 65+,45748.56,5934.78 Not in universe, United-States, Native- Born in the United States,35
480,77, High school graduate, Never married, Male, Single,11683.20,1288.73 Not in universe, United-States, Native- Born in the United States,0
481,44, High school graduate, Married-civilian spouse present, Male, Joint both under 65,14294.52,1429.45 Not in universe, United-States, Native- Born in the United States,52
482,36, Some college but no degree, Divorced, Female, Head of household,15080.52,1599.58 Not in universe, United-States, Native- Born in the United States,52
483,57, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,22152.84,2395.43 Not in universe, United-States, Native- Born in the United States,0
484,19, 12th grade no diploma, Never married, Male, Single,19081.08,2398.41 Not in universe, United-States, Native- Born in the United States,8
485,42, High school graduate, Married-civilian spouse present, Male, Joint both under 65,45160.80,5846.62 Not in universe, United-States, Native- Born in the United States,52
486,24, Bachelors degree(BA AB BS), Never married, Male, Single,24592.32,3225.10 Not in universe, United-States, Native- Born in the United States,52
487,16, 9th grade, Never married, Female, Nonfiler,8868.12,886.81 Both parents present, Mexico, Foreign born- Not a citizen of U S ,0
488,41, High school graduate, Married-civilian spouse present, Female, Joint both under 65,13533.36,1353.34 Not in universe, Cuba, Foreign born- Not a citizen of U S ,22
489,46, High school graduate, Married-civilian spouse present, Female, Joint both under 65,16682.28,1668.23 Not in universe, United-States, Native- Born in the United States,52
490,40, Associates degree-academic program, Never married, Female, Single,21590.64,2774.85 Not in universe, United-States, Native- Born in the United States,52
491,76, 7th and 8th grade, Widowed, Female, Nonfiler,13218.60,1519.04 Not in universe, United-States, Native- Born in the United States,0
492,21, Some college but no degree, Never married, Male, Single,13761.72,1600.51 Not in universe, United-States, Native- Born in the United States,16
493,32, High school graduate, Divorced, Female, Head of household,13839.96,1413.49 Not in universe, United-States, Native- Born in the United States,50
494,40, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,12794.16,1279.42 Not in universe, Mexico, Foreign born- Not a citizen of U S ,52
495,34, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,35653.80,4420.57 Not in universe, United-States, Native- Born in the United States,52
496,49, Associates degree-occup /vocational, Married-civilian spouse present, Male, Joint both under 65,28605.12,3363.27 Not in universe, United-States, Native- Born in the United States,52
497,33, Associates degree-academic program, Married-civilian spouse present, Female, Joint both under 65,11968.44,1196.84 Not in universe, South Korea, Foreign born- Not a citizen of U S ,8
498,31, 12th grade no diploma, Married-civilian spouse present, Male, Joint both under 65,10447.68,1044.77 Not in universe, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,52
499,48, High school graduate, Married-civilian spouse present, Female, Joint both under 65,14846.16,1484.62 Not in universe, United-States, Native- Born in the United States,52
500,76, Masters degree(MA MS MEng MEd MSW MBA), Widowed, Female, Single,2983.80,298.38 Not in universe, United-States, Native- Born in the United States,40
501,22, High school graduate, Never married, Female, Single,40475.64,5890.16 Not in universe, United-States, Native- Born in the United States,52
502,59, High school graduate, Married-civilian spouse present, Male, Joint both under 65,22853.28,2500.49 Not in universe, United-States, Native- Born in the United States,51
503,76, High school graduate, Married-civilian spouse present, Male, Joint both 65+,22652.28,2470.34 Not in universe, United-States, Native- Born in the United States,0
504,36, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,3529.56,352.96 Not in universe, United-States, Native- Born in the United States,52
505,39, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,40505.52,5148.33 Not in universe, United-States, Native- Born in the United States,52
506,44, Some college but no degree, Widowed, Female, Single,18813.48,2358.27 Not in universe, United-States, Native- Born in the United States,52
507,71, High school graduate, Married-civilian spouse present, Male, Joint one under 65 & one 65+,20824.68,2196.20 Not in universe, United-States, Native- Born in the United States,0
508,81, High school graduate, Widowed, Female, Nonfiler,20826.72,2660.26 Not in universe, United-States, Native- Born in the United States,0
509,69, 10th grade, Married-civilian spouse present, Male, Joint both 65+,22625.64,2466.35 Not in universe, United-States, Native- Born in the United States,0
510,43, High school graduate, Married-civilian spouse present, Male, Joint both under 65,18214.92,1821.49 Not in universe, United-States, Native- Born in the United States,52
511,33, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,6608.04,660.80 Not in universe, United-States, Native- Born in the United States,15
512,16, 11th grade, Never married, Female, Nonfiler,27545.28,3668.04 Both parents present, United-States, Native- Born in the United States,0
513,37, High school graduate, Married-civilian spouse present, Female, Joint both under 65,24063.24,2681.99 Not in universe, United-States, Native- Born in the United States,25
514,22, High school graduate, Married-civilian spouse present, Female, Joint both under 65,5702.04,570.20 Not in universe, Dominican-Republic, Foreign born- Not a citizen of U S ,0
515,56, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,14330.04,1433.00 Not in universe, United-States, Native- Born in the United States,52
516,32, High school graduate, Never married, Male, Single,21768.00,2801.45 Not in universe, United-States, Native- Born in the United States,52
517,68, High school graduate, Married-civilian spouse present, Male, Joint one under 65 & one 65+,36026.40,4476.46 Not in universe, United-States, Native- Born in the United States,0
518,48, High school graduate, Married-civilian spouse present, Female, Joint both under 65,22971.60,2518.24 Not in universe, United-States, Native- Born in the United States,52
519,27, High school graduate, Separated, Female, Head of household,21620.04,2580.51 Not in universe, United-States, Native- Born in the United States,52
520,55, High school graduate, Divorced, Male, Single,22689.84,2939.73 Not in universe, United-States, Native- Born in the United States,50
521,64, 7th and 8th grade, Married-civilian spouse present, Male, Joint both under 65,3729.84,372.98 Not in universe, United-States, Native- Born in the United States,0
522,40, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,14836.80,1483.68 Not in universe, United-States, Native- Born in the United States,52
523,15, 9th grade, Never married, Male, Nonfiler,26732.28,3546.09 Both parents present, United-States, Native- Born in the United States,0
524,37, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,13800.24,1380.02 Not in universe, United-States, Native- Born in the United States,52
525,16, 9th grade, Never married, Female, Nonfiler,24766.56,3251.23 Both parents present, United-States, Native- Born in the United States,0
526,44, Associates degree-academic program, Married-civilian spouse present, Female, Joint both under 65,3120.00,312.00 Not in universe, United-States, Native- Born in the United States,52
527,77, Some college but no degree, Widowed, Female, Single,22513.68,2913.30 Not in universe, United-States, Native- Born in the United States,0
528,63, High school graduate, Married-civilian spouse present, Male, Joint both under 65,5527.32,552.73 Not in universe, United-States, Native- Born in the United States,17
529,34, High school graduate, Married-civilian spouse present, Female, Joint both under 65,14311.08,1431.11 Not in universe, United-States, Native- Born in the United States,0
530,34, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,27136.32,3142.95 Not in universe, United-States, Native- Born in the United States,52
531,17, 10th grade, Never married, Female, Nonfiler,3811.80,381.18 Mother only present, United-States, Native- Born in the United States,0
532,23, Some college but no degree, Never married, Female, Head of household,6582.12,658.21 Not in universe, United-States, Native- Born in the United States,52
533,85, 10th grade, Married-civilian spouse present, Female, Nonfiler,22976.52,2982.73 Not in universe, United-States, Native- Born in the United States,0
534,60, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,12310.08,1231.01 Not in universe, United-States, Native- Born in the United States,52
535,50, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,14336.40,1433.64 Not in universe, United-States, Native- Born in the United States,0
536,61, 11th grade, Widowed, Female, Single,12299.28,1381.14 Not in universe, United-States, Native- Born in the United States,24
537,49, Associates degree-academic program, Separated, Male, Head of household,13749.36,1399.90 Not in universe, United-States, Native- Born in the United States,52
538,64, High school graduate, Married-civilian spouse present, Female, Joint one under 65 & one 65+,47549.28,6204.89 Not in universe, United-States, Native- Born in the United States,0
539,39, 10th grade, Married-civilian spouse present, Male, Joint both under 65,4923.24,492.32 Not in universe, United-States, Native- Born in the United States,52
540,73, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both 65+,25445.16,2889.27 Not in universe, United-States, Native- Born in the United States,0
541,45, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,24388.68,2730.80 Not in universe, United-States, Native- Born in the United States,52
542,70, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both 65+,12072.36,1207.24 Not in universe, United-States, Native- Born in the United States,0
543,25, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,11021.88,1102.19 Not in universe, United-States, Native- Born in the United States,52
544,41, Associates degree-academic program, Divorced, Female, Head of household,35416.32,4649.95 Not in universe, United-States, Native- Born in the United States,52
545,43, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,29950.92,3565.14 Not in universe, United-States, Native- Born in the United States,45
546,28, 9th grade, Married-civilian spouse present, Male, Joint both under 65,23941.08,2663.66 Not in universe, Trinadad&Tobago, Foreign born- Not a citizen of U S ,52
547,79, 10th grade, Widowed, Female, Nonfiler,19318.32,2434.00 Not in universe, United-States, Native- Born in the United States,0
548,29, Associates degree-occup /vocational, Married-civilian spouse present, Male, Joint both under 65,39423.24,4985.99 Not in universe, United-States, Native- Born in the United States,52
549,47, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,16184.16,1618.42 Not in universe, United-States, Native- Born in the United States,52
550,67, 5th or 6th grade, Married-civilian spouse present, Female, Nonfiler,11794.08,1305.36 Not in universe, ?, Foreign born- Not a citizen of U S ,0
551,64, Some college but no degree, Married-civilian spouse present, Male, Nonfiler,47623.08,7677.02 Not in universe, United-States, Native- Born in the United States,0
552,60, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,22944.72,2514.21 Not in universe, United-States, Native- Born in the United States,52
553,41, High school graduate, Divorced, Female, Head of household,25779.36,3204.40 Not in universe, United-States, Native- Born in the United States,52
554,45, High school graduate, Never married, Male, Single,40810.56,5973.89 Not in universe, United-States, Native- Born in the United States,52
555,40, High school graduate, Married-civilian spouse present, Female, Joint both under 65,24111.48,2689.22 Not in universe, Jamaica, Foreign born- U S citizen by naturalization,52
556,72, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Nonfiler,15888.72,1919.56 Not in universe, United-States, Native- Born in the United States,0
557,68, 9th grade, Married-civilian spouse present, Female, Nonfiler,32603.16,4426.72 Not in universe, United-States, Native- Born in the United States,0
558,45, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,26132.88,2992.43 Not in universe, United-States, Native- Born in the United States,0
559,49, 7th and 8th grade, Married-civilian spouse present, Female, Joint both under 65,23207.88,2553.68 Not in universe, United-States, Native- Born in the United States,46
560,28, Bachelors degree(BA AB BS), Never married, Female, Single,20604.72,2626.96 Not in universe, United-States, Native- Born in the United States,52
561,41, Less than 1st grade, Married-civilian spouse present, Male, Nonfiler,18597.12,2325.82 Not in universe, Vietnam, Foreign born- Not a citizen of U S ,52
562,16, 9th grade, Never married, Male, Nonfiler,29091.36,3899.95 Mother only present, United-States, Native- Born in the United States,0
563,31, High school graduate, Married-civilian spouse present, Female, Joint both under 65,27248.52,3159.78 Not in universe, United-States, Native- Born in the United States,44
564,16, 10th grade, Never married, Male, Nonfiler,37777.56,5215.64 Both parents present, United-States, Native- Born in the United States,8
565,25, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,4038.12,403.81 Not in universe, United-States, Native- Born in the United States,38
566,25, High school graduate, Never married, Male, Single,15971.40,1931.96 Not in universe, United-States, Native- Born in the United States,52
567,32, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,23316.72,2570.01 Not in universe, United-States, Native- Born in the United States,52
568,81, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both 65+,5138.64,513.86 Not in universe, United-States, Native- Born in the United States,0
569,24, 11th grade, Never married, Female, Nonfiler,24781.20,3253.43 Not in universe, Mexico, Foreign born- Not a citizen of U S ,0
570,34, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,5140.44,514.04 Not in universe, United-States, Native- Born in the United States,52
571,24, High school graduate, Married-civilian spouse present, Female, Joint both under 65,9840.72,984.07 Not in universe, United-States, Native- Born in the United States,52
572,50, 10th grade, Married-civilian spouse present, Male, Joint both under 65,26766.48,3087.47 Not in universe, United-States, Native- Born in the United States,52
573,17, 10th grade, Never married, Male, Nonfiler,28465.44,3806.07 Not in universe, ?, Foreign born- Not a citizen of U S ,0
574,61, High school graduate, Married-civilian spouse present, Female, Joint one under 65 & one 65+,11969.04,1196.90 Not in universe, England, Foreign born- U S citizen by naturalization,0
575,90, Some college but no degree, Widowed, Female, Nonfiler,38116.08,5300.27 Not in universe, United-States, Native- Born in the United States,0
576,18, Some college but no degree, Never married, Female, Nonfiler,11541.00,1267.40 Not in universe, United-States, Native- Born in the United States,0
577,71, 11th grade, Married-civilian spouse present, Male, Joint both 65+,23394.96,2581.74 Not in universe, United-States, Native- Born in the United States,0
578,33, Associates degree-academic program, Separated, Female, Nonfiler,21188.16,2714.47 Not in universe, Jamaica, Foreign born- Not a citizen of U S ,0
579,48, Masters degree(MA MS MEng MEd MSW MBA), Never married, Female, Single,23088.60,2999.54 Not in universe, United-States, Native- Born in the United States,38
580,33, Some college but no degree, Never married, Male, Single,30995.88,4185.63 Not in universe, United-States, Native- Born in the United States,52
581,49, High school graduate, Married-civilian spouse present, Male, Joint both under 65,5242.44,524.24 Not in universe, United-States, Native- Born in the United States,52
582,38, Associates degree-occup /vocational, Married-civilian spouse present, Female, Joint both under 65,16368.24,1636.82 Not in universe, United-States, Native- Born in the United States,52
583,26, High school graduate, Married-civilian spouse present, Male, Joint both under 65,26719.80,3080.47 Not in universe, United-States, Native- Born in the United States,52
584,35, Some college but no degree, Never married, Female, Head of household,5806.92,580.69 Not in universe, United-States, Native- Born in the United States,52
585,26, Associates degree-occup /vocational, Never married, Female, Single,32569.20,4421.63 Not in universe, United-States, Native- Born in the United States,52
586,39, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,15333.12,1533.31 Not in universe, United-States, Native- Born in the United States,52
587,36, High school graduate, Married-civilian spouse present, Female, Joint both under 65,25173.36,2848.50 Not in universe, United-States, Native- Born in the United States,0
588,24, Bachelors degree(BA AB BS), Never married, Male, Single,35581.08,4873.41 Not in universe, United-States, Native- Born in the United States,52
589,15, 10th grade, Never married, Male, Nonfiler,31803.36,4306.75 Mother only present, El-Salvador, Native- Born abroad of American Parent(s),0
590,47, Some college but no degree, Divorced, Female, Single,23704.92,3091.99 Not in universe, United-States, Native- Born in the United States,50
591,42, High school graduate, Married-spouse absent, Male, Single,25475.40,3357.56 Not in universe, United-States, Native- Born in the United States,52
592,31, 9th grade, Married-civilian spouse present, Female, Joint both under 65,5293.92,529.39 Not in universe, United-States, Native- Born in the United States,52
593,37, High school graduate, Never married, Male, Single,41054.76,6034.94 Not in universe, United-States, Native- Born in the United States,52
594,42, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,13477.44,1347.74 Not in universe, Mexico, Foreign born- Not a citizen of U S ,52
595,24, Some college but no degree, Never married, Female, Single,37198.32,5116.00 Not in universe, United-States, Native- Born in the United States,52
596,31, 1st 2nd 3rd or 4th grade, Married-civilian spouse present, Male, Joint both under 65,15231.24,1523.12 Not in universe, El-Salvador, Foreign born- Not a citizen of U S ,52
597,52, High school graduate, Divorced, Female, Single,14074.92,1647.49 Not in universe, United-States, Native- Born in the United States,52
598,37, Some college but no degree, Divorced, Female, Head of household,8506.56,850.66 Not in universe, United-States, Native- Born in the United States,52
599,27, Associates degree-academic program, Married-civilian spouse present, Male, Joint both under 65,5571.84,557.18 Not in universe, Dominican-Republic, Foreign born- Not a citizen of U S ,52
600,56, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,11914.20,1191.42 Not in universe, United-States, Native- Born in the United States,52
601,24, High school graduate, Divorced, Female, Nonfiler,28259.64,3775.20 Not in universe, United-States, Native- Born in the United States,0
602,18, 12th grade no diploma, Never married, Female, Nonfiler,43441.08,6631.52 Not in universe, United-States, Native- Born in the United States,0
603,62, High school graduate, Married-civilian spouse present, Male, Joint both under 65,3698.64,369.86 Not in universe, United-States, Native- Born in the United States,52
604,29, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,98517.84,16171.96 Not in universe, United-States, Native- Born in the United States,30
605,43, Bachelors degree(BA AB BS), Never married, Male, Single,16754.04,2049.36 Not in universe, United-States, Native- Born in the United States,52
606,31, High school graduate, Married-civilian spouse present, Female, Joint both under 65,33914.04,4159.61 Not in universe, United-States, Native- Born in the United States,52
607,59, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,12059.16,1205.92 Not in universe, United-States, Native- Born in the United States,0
608,19, Some college but no degree, Never married, Female, Single,37492.68,5160.15 Not in universe, United-States, Native- Born in the United States,11
609,59, High school graduate, Married-civilian spouse present, Male, Joint both under 65,30921.36,3710.70 Not in universe, Nicaragua, Foreign born- Not a citizen of U S ,52
610,47, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both under 65,20376.48,2128.97 Not in universe, United-States, Native- Born in the United States,52
611,44, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,19334.88,1972.73 Not in universe, United-States, Native- Born in the United States,52
612,30, 11th grade, Married-spouse absent, Male, Single,21262.56,2725.63 Not in universe, Honduras, Foreign born- Not a citizen of U S ,30
613,35, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,44993.64,5821.55 Not in universe, United-States, Native- Born in the United States,52
614,70, High school graduate, Married-civilian spouse present, Female, Joint both 65+,21124.92,2241.24 Not in universe, United-States, Native- Born in the United States,0
615,30, Bachelors degree(BA AB BS), Never married, Female, Nonfiler,11688.12,1289.47 Not in universe, United-States, Native- Born in the United States,0
616,67, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both 65+,23051.52,2530.23 Not in universe, United-States, Native- Born in the United States,0
617,21, High school graduate, Never married, Male, Single,49257.60,8085.65 Not in universe, United-States, Native- Born in the United States,26
618,39, High school graduate, Married-civilian spouse present, Female, Joint both under 65,27410.04,3184.01 Not in universe, United-States, Native- Born in the United States,52
619,42, High school graduate, Never married, Female, Single,16998.36,2086.00 Not in universe, United-States, Native- Born in the United States,52
620,33, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both under 65,40642.68,5168.90 Not in universe, United-States, Native- Born in the United States,52
621,58, High school graduate, Divorced, Male, Single,35142.12,4807.57 Not in universe, United-States, Native- Born in the United States,52
622,48, Associates degree-occup /vocational, Married-civilian spouse present, Male, Joint both under 65,9079.80,907.98 Not in universe, United-States, Native- Born in the United States,52
623,28, High school graduate, Married-civilian spouse present, Female, Joint both under 65,32750.64,3985.10 Not in universe, United-States, Native- Born in the United States,52
624,47, High school graduate, Married-civilian spouse present, Female, Joint both under 65,16286.40,1628.64 Not in universe, United-States, Native- Born in the United States,37
625,78, 7th and 8th grade, Widowed, Female, Single,22318.68,2884.05 Not in universe, United-States, Native- Born in the United States,0
626,36, High school graduate, Never married, Male, Single,20446.68,2603.25 Not in universe, United-States, Native- Born in the United States,52
627,26, Doctorate degree(PhD EdD), Married-civilian spouse present, Female, Joint both under 65,39635.52,5017.83 Not in universe, United-States, Native- Born in the United States,52
628,31, High school graduate, Married-civilian spouse present, Male, Joint both under 65,28973.04,3418.46 Not in universe, United-States, Native- Born in the United States,52
629,49, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,13334.28,1333.43 Not in universe, United-States, Native- Born in the United States,45
630,62, Bachelors degree(BA AB BS), Never married, Male, Single,5116.56,511.66 Not in universe, United-States, Native- Born in the United States,5
631,48, 11th grade, Married-civilian spouse present, Female, Joint both under 65,14273.04,1427.30 Not in universe, United-States, Native- Born in the United States,52
632,42, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,24007.44,2673.62 Not in universe, Italy, Foreign born- U S citizen by naturalization,0
633,33, High school graduate, Married-civilian spouse present, Male, Joint both under 65,22134.36,2392.65 Not in universe, United-States, Native- Born in the United States,52
634,65, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint one under 65 & one 65+,24195.00,2701.75 Not in universe, United-States, Native- Born in the United States,52
635,30, High school graduate, Married-civilian spouse present, Male, Joint both under 65,6641.64,664.16 Not in universe, Mexico, Foreign born- Not a citizen of U S ,52
636,67, 11th grade, Married-civilian spouse present, Female, Nonfiler,20010.00,2537.75 Not in universe, United-States, Native- Born in the United States,0
